the_geom,OBJECTID,Name,Type,Address
POINT (-90.071177224903 29.943674016379),221,OGDEN AFTER HOURS,Visual Arts & Crafts,925 CAMP ST
POINT (-90.070725446235 29.948389147075),4,BAYOU BACCHANAL,Cultural and Ethnic,550 ST CHARLES AVE
POINT (-90.062766224805 29.956745020639),182,NEW ORLEANS SPRING FIESTA,Holiday,700 DECATUR ST
POINT (-90.067736932786 29.954573487444),71,SAINTS AND SINNERS LITERARY FESTIVAL,Literary,214 ROYAL ST
POINT (-90.078598860576 29.950870390432),163,KING CAKE FESTIVAL,Culinary Arts,600 LASALLE ST
POINT (-90.05602593869 29.966808919334),75,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",2215 BURGUNDY ST
POINT (-90.026824883724 29.960397504911),134,"PROSPECT 1.0, 1.5, 2.0, 3",Visual Arts and Crafts,4725 DAUPHINE ST
POINT (-90.045494649856 29.967767853543),108,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",3020 ST CLAUDE AVE
POINT (-90.06787941166 29.966546272562),45,"PROSPECT 1.0, 1.5, 2.0, 3",Visual Arts and Crafts,1418 GOVERNOR NICHOLLS ST
POINT (-90.040764724565 29.941441994133),2,SUPER SUNDAY WESTBANK,Cultural and Ethnic,1320 WHITNEY AVE
POINT (-90.067736932786 29.954573487444),70,FESTIGALS,Culinary Arts,214 ROYAL ST
POINT (-90.059750990484 29.966620311297),59,HELL YES FEST,"Film, Theatre, and Dance",1919 BURGUNDY ST
POINT (-90.078442661273 29.931905695036),40,BACH AROUND THE CLOCK,Music,1329 JACKSON AVE
POINT (-90.059644806237 29.960012600104),27,SIX STRING MUSIC FESTIVAL,Music,1104 DECATUR ST
POINT (-90.054996217116 29.953272672322),24,ALGIERS CHRISTMAS BONFIRE,Holiday,101 MORGAN ST
POINT (-90.07197980127 29.943710182961),225,TALES OF THE COCKTAIL,Culinary Arts,936 ST CHARLES AVE
POINT (-90.103930642596 29.98486494383),166,"PROSPECT 1.0, 1.5, 2.0, 3",Visual Arts and Crafts,615 CITY PARK AVE
,43,BUKU FEST,Music,1380 PORT OF NEW ORLEANS PL
POINT (-90.128176073902 29.924717798981),177,EARTH FEST,Holiday,6500 MAGAZINE ST
POINT (-90.066132244026 29.953264808126),82,NEW ORLEANS BURLESQUE FESTIVAL,"Film, Theatre, and Dance",225 DECATUR ST
POINT (-90.108647281882 29.961789802129),122,"PROSPECT 1.0, 1.5, 2.0, 3",Visual Arts and Crafts,3520 PINE ST
POINT (-90.068797991615 29.955838483977),202,TENNESSEE WILLIAMS NEW ORLEANS LITERARY FESTIVAL,Literary,813 BIENVILLE ST
POINT (-90.07197980127 29.943710182961),224,FASHION WEEK,Visual Arts and Crafts,936 ST CHARLES AVE
POINT (-90.043023922717 29.962075154843),167,PIETY STREET MARKET,Visual Arts and Crafts,615 PIETY ST
POINT (-90.038039778608 29.968218125116),39,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",1239 CONGRESS ST
POINT (-90.06890452053 29.957420198323),219,FLEUR DE LINDY SWING HOP DANCE FESTIVAL,"Film, Theatre, and Dance",917 CONTI ST
POINT (-90.068000579562 29.955654463526),105,NEW ORLEANS WINE AND FOOD EXPERIENCE,Culinary Arts,300 BOURBON ST
POINT (-90.064120438506 29.957413952709),171,TENNESSEE WILLIAMS NEW ORLEANS LITERARY FESTIVAL,Literary,616 ST PETERS ST
POINT (-90.107552494664 29.935031583569),135,TALES OF THE COCKTAIL,Culinary Arts,4905 FRERET ST
POINT (-90.064661640546 29.941441119164),26,SAN FERMIN IN NUEVA ORLEANS,Holiday,1021 CONVENTION CENTER BLVD
POINT (-90.049051780567 29.969823634125),31,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",1200 PORT ST
POINT (-90.111500734085 30.020648929857),41,TASTE AT THE LAKE,Culinary Arts,135 ROBERT E LEE BLVD
POINT (-90.067374295195 29.961425620736),200,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",806 N RAMPART ST
POINT (-90.10130776777 29.920853969537),217,CELEBRACION LATINA,Cultural and Ethnic,901 NAPOLEON AVE
POINT (-90.048032318397 29.968358273889),103,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",2808 ST CLAUDE AVE
POINT (-90.049051780567 29.969823634125),32,NEW ORLEANS GIANT PUPPET FESTIVAL,"Film, Theatre, and Dance",1200 PORT ST
,46,ESSENCE MUSIC FESTIVAL,Music,1500 SUGAR BOWL DR
POINT (-90.064754619818 29.957037526058),168,FLEUR DE LINDY SWING HOP DANCE FESTIVAL,"Film, Theatre, and Dance",615 TOULOUSE ST
POINT (-90.064754619818 29.957037526058),170,TENNESSEE WILLIAMS NEW ORLEANS LITERARY FESTIVAL,Literary,615 TOULOUSE ST
POINT (-90.109859651978 29.942252327601),155,MARCHE D'HIVER,Cultural & Ethnic,5401 S CLAIBORNE AVE
POINT (-90.051278930197 29.969297306367),98,"PROSPECT 1.0, 1.5, 2.0, 3",Visual Arts and Crafts,2429 ST CLAUDE AVE
POINT (-90.065003344095 29.955848908386),136,TALES OF THE COCKTAIL,Culinary Arts,500 CHARTRES ST
POINT (-90.041460482416 29.962839769635),119,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",3405 ROYAL ST
,42,INTERNATIONAL FESTIVAL,Cultural & Ethnic,1350 PORT OF NEW ORLEANS PL
POINT (-90.065928323139 29.942702295217),218,SNAKE OIL FESTIVAL,Dance,907 S PETERS ST
POINT (-90.051997738476 29.968630404968),95,HELL YES FEST,"Film, Theatre, and Dance",2400 ST CLAUDE AVE
POINT (-90.057991827384 29.962807650234),139,NEW ORLEANS EARTH DAY FESTIVAL,Holiday,508 FRENCHMEN ST
POINT (-90.070725446235 29.948389147075),156,CRESCENT CITY BLUES AND BBQ FESTIVAL,Music,550 ST CHARLES AVE
POINT (-90.105419634298 30.005017636086),199,HARRISON AVENUE MARKETPLACE,Visual Arts and Crafts,801 HARRISON AVE
POINT (-90.047020475633 29.962868209242),109,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",3027 CHARTRES ST
POINT (-90.077782898093 29.942769767536),36,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",1228 ORETHA CASTLE HALEY BLVD
POINT (-90.074951334621 29.933379648746),58,FASHION WEEK,Visual Arts and Crafts,1818 CHESTNUT ST
POINT (-90.014512613573 29.961914931453),160,SANKOFA MOBILE FARMERS MARKET,Culinary Arts,5617 ST CLAUDE AVE
POINT (-90.093297396193 29.986458535623),13,JAPAN FEST,Cultural and Ethnic,1 COLLINS DIBOLL CR
POINT (-90.068288805379 29.983649811517),100,ST. AUGUSTINE EDWIN HAMPTON MUSIC FESTIVAL,Music,2600 A.P. TUREAUD AVE
POINT (-90.068685367544 29.961420814074),186,NEW ORLEANS DANCE FESTIVAL,"Film, Theatre, and Dance",701 N RAMPART
POINT (-90.052366687319 29.96839941023),93,"PROSPECT 1.0, 1.5, 2.0, 3",Visual Arts and Crafts,2372 ST CLAUDE AVE
POINT (-90.054282256051 29.965211906341),193,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",718 MANDEVILLE ST
POINT (-90.05699005651 29.963818414648),68,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",2121 CHARTRES ST
POINT (-90.067619407069 29.95729021269),204,SAINTS AND SINNERS LITERARY FESTIVAL,Literary,820 ST LOUIS ST
POINT (-90.11319215335 29.925200866263),150,HELL YES FEST,"Film, Theatre, and Dance",5339 PRYTANIA ST
POINT (-90.121499726178 29.955183772718),5,UMOJA CELEBRATION OF THE AFRICAN AMERICAN CHILD,Cultural and Ethnic,2300 S CARROLLTON AVE
POINT (-90.052366687319 29.96839941023),91,LADYFEST,Music,2372 ST CLAUDE AVE
POINT (-90.043235750299 29.962284378165),164,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",612 PIETY ST
POINT (-90.045194780724 29.963480923235),113,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",3113 ROYAL ST
POINT (-90.059043829982 29.960768313898),34,TENNESSEE WILLIAMS NEW ORLEANS LITERARY FESTIVAL,Literary,1204 DECATUR ST
POINT (-89.98572048999 29.908187542652),176,TET LUNAR NEW YEAR WESTBANK,Holiday,6450 KATHY CT
POINT (-90.049212565934 29.965025623024),195,NEW FANGLED FESTIVAL OF OPERA,Music,725 ST FERDINAND ST
POINT (-90.092731087924 29.977143762311),124,CRESCENT CITY FARMERS MARKET MID-CITY,Culinary Arts,3700 ORLEANS AVE
POINT (-90.08034913003 29.939352905693),51,MAKE A JOYFUL NOISE GOSPEL FESTIVAL,Music,1712 ORETHA CASTLE HALEY BLVD
,25,FOOD REVUE,Culinary Arts,101 VICTORY AVE
POINT (-90.057830540215 29.961406018369),129,SATCHMO FEST,Music,400 ESPLANADE AVE
POINT (-90.070877345768 29.943753161839),210,NEW ORLEANS CHILDREN'S FILM FESTIVAL,"Film, Theatre, and Dance",900 CAMP ST
POINT (-90.067736932786 29.954573487444),72,TALES OF THE COCKTAIL,Culinary Arts,214 ROYAL ST
POINT (-90.039051422893 29.966847076804),121,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",3519 ST CLAUDE AVE
POINT (-90.110248242504 29.926647091167),142,NEW ORLEANS BOOK FESTIVAL,Literary,5120 ST CHARLES AVE
POINT (-90.062264478072 29.957775182494),145,"PROSPECT 1.0, 1.5, 2.0, 3",Visual Arts and Crafts,523 ST ANN ST
POINT (-90.052366687319 29.96839941023),90,HELL YES FEST,"Film, Theatre, and Dance",2372 ST CLAUDE AVE
POINT (-90.052563051229 29.969606839355),29,SAINTS AND SINNERS LITERARY FESTIVAL,Literary,1122 ST ROCH AVE
POINT (-90.055655414554 29.968528324721),79,LADYFEST,Music,2240 ST CLAUDE AVE
POINT (-90.065519758922 29.955161717984),130,TENNESSEE WILLIAMS NEW ORLEANS LITERARY FESTIVAL,Literary,410 CHARTRES ST
,66,ALGIERS FOLK ART FESTIVAL,Visual Arts & Crafts,207 LEBOUEF ST
POINT (-90.055436542401 29.96903122326),77,HELL YES FEST,"Film, Theatre, and Dance",2239 ST CLAUDE AVE
POINT (-90.049212565934 29.965025623024),194,FASHION WEEK,Visual Arts and Crafts,725 ST FERDINAND ST
POINT (-90.065864961023 30.028568569265),63,CRAWFISH MAMBO,Culinary Arts,2000 LAKESHORE DR
POINT (-90.055436542401 29.96903122326),78,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",2239 ST CLAUDE AVE
POINT (-90.052366687319 29.96839941023),94,SACRED MUSIC FESTIVAL,Music,2372 ST CLAUDE AVE
POINT (-90.07423868951 29.950270556356),137,NEW ORLEANS FILM FESTIVAL,"Film, Theatre, and Dance",500 O'KEEFE AVE
POINT (-90.052720620831 29.96855184781),87,FLEUR DE LINDY SWING HOP DANCE FESTIVAL,"Film, Theatre, and Dance",2358 ST CLAUDE AVE
POINT (-90.090157773274 29.938220467835),1,SUPER SUNDAY UPTOWN,Cultural and Ethnic,2701 LA SALLE
POINT (-90.079889221513 29.939955884649),48,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",1618 ORETHA CASTLE HALEY BLVD
POINT (-90.06509579749 29.950859743421),116,FASHION WEEK,Visual Arts and Crafts,333 CANAL ST
POINT (-90.063968753307 29.959437240097),203,SAINTS AND SINNERS LITERARY FESTIVAL,Literary,819 ROYAL ST
POINT (-90.093297396193 29.986458535623),8,ART IN BLOOM,Visual Arts and Crafts,1 COLLINS DIBOLL CR
POINT (-90.052077498023 29.945935166317),220,OLD ALGIERS HARVEST FRESH MARKET,Culinary Arts,922 TECHE ST
POINT (-90.049212565934 29.965025623024),197,NEW ORLEANS GIANT PUPPET FESTIVAL,"Film, Theatre, and Dance",725 ST FERDINAND ST
POINT (-90.05497471689 29.968417073063),83,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",2256 ST CLAUDE AVE
POINT (-90.070877345768 29.943753161839),212,"PROSPECT 1.0, 1.5, 2.0, 3",Visual Arts and Crafts,900 CAMP ST
POINT (-90.044863991363 29.96305417216),114,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",3126 ROYAL ST
POINT (-90.064803889253 29.94325552739),209,NEW ORLEANS WINE AND FOOD EXPERIENCE,Culinary Arts,859 CONVENTION CENTER BLVD
POINT (-90.11319215335 29.925200866263),153,NEW ORLEANS IRISH FILM FESTIVAL,Film & Video,5339 PRYTANIA ST
POINT (-90.070877345768 29.943753161839),211,NEW ORLEANS FILM FESTIVAL,"Film, Theatre, and Dance",900 CAMP ST
POINT (-90.058234247602 29.960340524113),38,CRESCENT CITY FARMERS MARKET FRENCH QUARTER,Culinary Arts,1235 N PETERS ST
POINT (-90.056049050654 29.963414445125),147,TENNESSEE WILLIAMS NEW ORLEANS LITERARY FESTIVAL,Literary,527 ELYSIAN FIELDS AVE
POINT (-90.06509579749 29.950859743421),117,FRENCH SUMMER WINE FESTIVAL,Culinary Arts,333 CANAL ST
POINT (-90.093297396193 29.986458535623),9,ASIAN HERITAGE FESTIVAL,Cultural and Ethnic,1 COLLINS DIBOLL CR
POINT (-89.977157275908 30.033249431791),161,RENAISSANCE MARKETPLACE,Visual Arts & Crafts,5700 READ BLVD
POINT (-90.065682380299 29.956263617099),172,NEW ORLEANS WINE AND FOOD EXPERIENCE,Culinary Arts,621 ST LOUIS ST
POINT (-90.038988938614 30.028276586509),6,GENTILLY FEST,Neighborhood,6520 CONGRESS DR
POINT (-90.068000579562 29.955654463526),106,TALES OF THE COCKTAIL,Culinary Arts,300 BOURBON ST
POINT (-90.078937989024 29.943416736692),35,TREME CREOLE GUMBO FESTIVAL,Culinary Arts,1225 RAMPART ST
POINT (-90.11319215335 29.925200866263),151,NEW ORLEANS FILM FESTIVAL,"Film, Theatre, and Dance",5339 PRYTANIA ST
POINT (-90.067736932786 29.954573487444),73,TENNESSEE WILLIAMS NEW ORLEANS LITERARY FESTIVAL,Literary,214 ROYAL ST
POINT (-90.064754619818 29.957037526058),169,HELL YES FEST,"Film, Theatre, and Dance",615 TOULOUSE ST
POINT (-90.066132244026 29.953264808126),81,HELL YES FEST,"Film, Theatre, and Dance",225 DECATUR ST
POINT (-89.919207862676 30.040608141062),138,TET LUNAR NEW YEAR NO EAST,Holiday,5069 WILLOWBROOK DR
POINT (-90.093297396193 29.986458535623),10,FALL GARDEN FESTIVAL,Culinary Arts,1 COLLINS DIBOLL CR
POINT (-90.068685367544 29.961420814074),188,MAAFA COMMEMORATION,Cultural and Ethnic,701 N RAMPART ST
POINT (-90.066993916293 29.962447365738),216,CONGO SQUARE RHYTHMS FESTIVAL,Music,901 N RAMPART ST
POINT (-90.057991827384 29.962807650234),140,NICKEL-A-DANCE,"Film, Theatre, and Dance",508 FRENCHMEN ST
POINT (-90.055929599147 29.963200695434),143,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",519 ELYSIAN FIELDS AVE
POINT (-90.062597128259 29.965418482154),20,LADYFEST,Music,1001 ESPLANADE AVE
POINT (-90.05780594083 29.963328913508),162,LADYFEST,Music,580 FRENCHMEN ST
POINT (-90.070725446235 29.948389147075),159,WEDNESDAYS AT THE SQUARE,Music,550 ST CHARLES AVE
POINT (-90.124454900011 29.938334786585),47,BIRDFOOT CHAMBER MUSIC FESTIVAL,Music,16 NEWCOMB PL
POINT (-90.093297396193 29.986458535623),17,VOODOO EXPERIENCE,Music,1 COLLINS DIBOLL CR
POINT (-90.052366687319 29.96839941023),89,AFRIKAN FILM AND ARTS FESTIVAL,"Film, Theatre, and Dance",2372 ST CLAUDE AVE
POINT (-90.08034913003 29.939352905693),52,NEW ORLEANS FILM FESTIVAL,"Film, Theatre, and Dance",1712 ORETHA CASTLE HALEY BLVD
POINT (-90.064185540092 29.958046678071),173,WORDS AND MUSIC,Literary,624 PIRATES ALY
POINT (-90.018352253521 29.96660230377),146,SANKOFA MOBILE FARMERS MARKET,Culinary Arts,5234 N CLAIBORNE AVE
POINT (-90.072255049322 29.964855152695),201,SAINTS AND SINNERS LITERARY FESTIVAL,Literary,810 S CLAIBORNE AVE
POINT (-90.08034913003 29.939352905693),54,REDD LINEN NIGHT,Visual Arts and Crafts,1712 ORETHA CASTLE HALEY BLVD
POINT (-90.067619407069 29.95729021269),205,TENNESSEE WILLIAMS NEW ORLEANS LITERARY FESTIVAL,Literary,820 ST LOUIS ST
POINT (-90.121602976564 29.955353362684),86,PALMER PARK ARTS MARKET,Visual Arts and Crafts,2300 S CARROLLTON AVE
POINT (-90.051531379775 29.968736545192),97,NEW ORLEANS FRINGE THEATER FESTIVAL,"Film, Theatre, and Dance",2422 ST CLAUDE AVE
POINT (-90.06680887744 29.948883734569),125,"PROSPECT 1.0, 1.5, 2.0, 3",Visual Arts and Crafts,377 POYDRAS ST
POINT (-90.1051447346 29.935002797408),133,FRERET STREET OYSTER JAM,Neighborhood,4528 FRERET ST
POINT (-90.070725446235 29.948389147075),157,LUNA FETE,Visual Arts & Crafts,550 ST CHARLES AVE
POINT (-90.058021911717 29.964159205938),174,BIRDFOOT CHAMBER MUSIC FESTIVAL,Music,626 FRENCHMEN ST
POINT (-90.103347793861 29.935290767436),131,FRERET STREET MARKET,Neighborhood,4421 FRERET ST
POINT (-90.066993916293 29.962447365738),215,ARMSTRONG PARK MARKET,Culinary Arts,901 N RAMPART ST
